ticker,nome,setor,tipo,preco_brl,preco_usd,abertura,maxima,minima,volume,var_1d,var_1w,var_1m,var_ytd,var_5y,var_all,preco_1d_ago,preco_1w_ago,preco_1m_ago,preco_inicio_ano,preco_5y_ago,preco_all_time,market_cap,pe_ratio,forward_pe,pb_ratio,dividend_yield,eps,beta,week_52_high,week_52_low,pct_from_52w_high,ma_50,ma_200,rsi_14,above_ma_50,above_ma_200,ma_50_above_200,profit_margin,roe,debt_to_equity,analyst_rating,target_price,num_analysts,ibov_change_1d,ibov_change_ytd,sp500_change_1d,sp500_change_ytd,vs_ibov_1d,vs_ibov_1m,vs_ibov_ytd,vs_sp500_1d,vs_sp500_1m,vs_sp500_ytd,signal_golden_cross,signal_death_cross,signal_rsi_oversold,signal_rsi_overbought,signal_52w_high,signal_52w_low,signal_volume_spike,signal_summary,volatility_30d,avg_volume_20d,volume_ratio,news_sentiment_pt,news_sentiment_en,news_sentiment_combined,news_count_pt,news_count_en,news_headline_pt,news_headline_en,news_sentiment_label,data_cotacao,atualizado_em
EMBJ3,Embraer,Aeronáutica,stock,95.67,18.43,94.95,96.15,93.08,2664000.0,1.1,3.05,-4.03,7.98,,10.37,94.63,92.84,99.69,88.6,,86.68,,,,,,,,,,,93.61,,43.2,1,,,,,,,,,-0.11,16.88,0.44,0.68,1.21,-13.64,-8.9,0.66,-4.27,7.3,0,0,0,0,0,0,0,neutral,1.62,4115665.0,0.65,,,,,,,,,2026-02-20,2026-02-20 18:03:23
AGRO3,BrasilAgro,Agronegócio,stock,20.47,3.94,20.26,20.48,20.12,80900.0,0.54,0.54,-4.03,-4.03,-7.0,78.0,20.36,20.36,21.33,21.33,22.01,11.5,,,,,,,,,,,24.77,16.22,40.6,0,1,1,,,,,,,-0.11,16.88,0.44,0.68,0.65,-13.64,-20.91,0.1,-4.27,-4.71,1,0,0,0,0,0,0,neutral,5.28,3876535.0,0.02,,,,,,,,,2026-02-20,2026-02-20 18:03:23
SLCE3,SLC Agrícola,Agronegócio,stock,16.01,3.08,16.05,16.09,15.95,603600.0,0.76,0.76,-0.25,-0.25,6.36,441.46,15.89,15.89,16.05,16.05,15.05,2.96,,,,,,,,,,,17.07,8.49,53.2,0,1,1,,,,,,,-0.11,16.88,0.44,0.68,0.87,-9.85,-17.13,0.32,-0.49,-0.93,1,0,0,0,0,0,0,neutral,4.27,48930939.15,0.01,,,,,,,,,2026-02-20,2026-02-20 18:03:23
BEEF3,Minerva,Alimentos,stock,5.7,1.1,5.63,5.72,5.6,4436800.0,-0.35,-0.35,-7.92,-7.92,-41.24,-70.27,5.72,5.72,6.19,6.19,9.7,19.17,,,,,,,,,,,8.41,9.0,55.1,0,0,0,,,,,,,-0.11,16.88,0.44,0.68,-0.24,-17.52,-24.79,-0.79,-8.15,-8.59,0,1,0,0,0,0,0,bearish,12.09,231999729.05,0.02,,,,,,,,,2026-02-20,2026-02-20 18:03:23
MDIA3,M. Dias Branco,Alimentos,stock,25.11,4.84,25.4,25.5,24.86,185100.0,-0.04,-0.04,1.13,1.13,-12.29,214.01,25.12,25.12,24.83,24.83,28.63,8.0,,,,,,,,,,,30.42,30.03,55.3,0,0,1,,,,,,,-0.11,16.88,0.44,0.68,0.07,-8.48,-15.75,-0.48,0.89,0.45,1,0,0,0,0,0,0,neutral,8.24,13642840.0,0.01,,,,,,,,,2026-02-20,2026-02-20 18:03:23
TSLA,Tesla,Automotivo,stock,2129.83,410.23,408.29,414.7,405.5,34551321.0,-1.73,-1.73,-4.69,-4.69,82.19,30759.84,417.44,417.44,430.41,430.41,225.17,1.33,,,,,,,,,,,277.94,,50.6,1,,,,,,,,,-0.11,16.88,0.44,0.68,-1.61,-14.29,-21.57,-2.17,-4.93,-5.37,0,0,0,0,0,0,0,neutral,15.26,1774208241.05,0.02,,,,,,,,,2026-02-20,2026-02-20 18:03:23
AZUL4,Azul,Aviação,stock,1800.0,346.7,2150.03,2708.45,1800.0,117240000.0,-28.0,-28.0,174657.29,47900.0,4480.15,7729.49,2500.0,2500.0,1.03,3.75,39.3,22.99,,,,,,,,,,,87.68,31.5,78.1,1,1,1,,,,,,,-0.11,16.88,0.44,0.68,-27.89,174647.68,47883.12,-28.44,174657.05,47899.32,1,0,0,1,0,0,0,bullish,54050.05,147960405.0,0.79,,,,,,,,,2025-12-29,2026-02-20 18:03:23
SMTO3,São Martinho,Açúcar e Álcool,stock,15.69,3.02,15.63,15.83,15.51,1299700.0,1.75,1.75,2.75,2.75,-49.74,76.89,15.42,15.42,15.27,15.27,31.22,8.87,,,,,,,,,,,27.56,18.29,27.4,0,0,1,,,,,,,-0.11,16.88,0.44,0.68,1.87,-6.85,-14.13,1.31,2.51,2.07,1,0,1,0,0,0,0,neutral,7.89,36280705.0,0.04,,,,,,,,,2026-02-20,2026-02-20 18:03:23
BAC,Bank of America,Bancário,stock,273.74,52.72,52.53,52.97,51.83,17198283.0,0.33,0.33,-0.89,-0.89,30.09,1024.8,52.55,52.55,53.2,53.2,40.53,4.69,,,,,,,,,,,30.94,,65.5,1,,,,,,,,,-0.11,16.88,0.44,0.68,0.45,-10.5,-17.77,-0.11,-1.13,-1.57,0,0,0,0,0,0,0,neutral,14.49,2468242419.15,0.01,,,,,,,,,2026-02-20,2026-02-20 18:03:23
BBAS3,Banco do Brasil,Bancário,stock,26.72,5.15,26.36,26.75,26.16,11671400.0,5.07,5.07,5.95,5.95,90.52,2051.95,25.43,25.43,25.22,25.22,14.02,1.24,,,,,,,,,,,23.3,16.94,47.6,1,1,1,,,,,,,-0.11,16.88,0.44,0.68,5.19,-3.66,-10.93,4.63,5.71,5.27,1,0,0,0,0,0,0,bullish,6.75,499480690.0,0.02,,,,,,,,,2026-02-20,2026-02-20 18:03:23
